subscriber_id,region,package_type,recharge_history,complaint_count,last_active_date,tenure_months,arpu,churn,avg_recharge,min_recharge,recharge_trend,days_since_active,region_enc,package_enc,churn_probability,risk_tier
SUB-00083,Mumbai,Premium,"744,876,843,902,807,815",5,2026-05-28,41,841.26,0,831.1666666666666,744.0,71.0,14,8,1,5.0923132e-05,Low
SUB-00084,Mumbai,Premium,"507,591,536,511,501,498",5,2026-02-03,62,551.54,0,524.0,498.0,-9.0,128,8,1,0.7937357,High
SUB-00085,Jaipur,Basic,"131,241,181,189,225,135",4,2026-02-01,8,191.99,1,183.66666666666666,131.0,4.0,130,5,0,0.96934885,High
SUB-00086,Delhi,Basic,"229,234,230,233,229,320",5,2026-01-10,9,261.47,1,245.83333333333334,229.0,91.0,152,3,0,0.9965049,High
SUB-00087,Delhi,Premium,"913,952,866,1019,1031,911",3,2026-04-12,111,942.05,0,948.6666666666666,866.0,-2.0,60,3,1,0.00016594809,Low
SUB-00088,Pune,Basic,"150,175,282,190,196,237",6,2026-01-17,114,238.37,1,205.0,150.0,87.0,145,9,0,0.9968554,High
SUB-00089,Chennai,Premium,"816,868,928,995,842,845",0,2026-06-01,77,869.48,0,882.3333333333334,816.0,29.0,10,2,1,3.311554e-06,Low
SUB-00090,Lucknow,Basic,"327,302,301,317,306,324",4,2025-12-25,54,281.32,1,312.8333333333333,301.0,-3.0,168,7,0,0.9975567,High
SUB-00091,Lucknow,Premium,"977,892,908,961,860,919",4,2026-03-23,67,900.85,0,919.5,860.0,-58.0,80,7,1,0.0014411878,Low
SUB-00092,Kolkata,Basic,"279,163,239,242,275,170",2,2026-03-23,86,238.2,0,228.0,163.0,-109.0,80,6,0,0.0140193235,Low
SUB-00093,Chennai,Standard,"535,551,527,585,452,533",1,2026-05-09,51,524.76,0,530.5,452.0,-2.0,33,2,2,8.094207e-06,Low
SUB-00094,Kolkata,Standard,"524,419,477,435,530,394",0,2026-05-24,41,470.43,0,463.1666666666667,394.0,-130.0,18,6,2,4.5631014e-06,Low
SUB-00095,Mumbai,Standard,"440,500,418,394,516,349",1,2026-01-18,80,422.05,1,436.1666666666667,349.0,-91.0,144,8,2,0.36447614,Medium
SUB-00096,Delhi,Basic,"196,155,120,227,216,179",3,2026-04-18,69,184.04,0,182.16666666666666,120.0,-17.0,54,3,0,0.00032042412,Low
SUB-00097,Jaipur,Standard,"488,530,559,479,614,538",3,2026-03-14,17,542.33,0,534.6666666666666,479.0,50.0,89,5,2,0.006358655,Low
SUB-00098,Delhi,Basic,"315,349,293,318,279,355",5,2026-03-31,48,283.52,0,318.1666666666667,279.0,40.0,72,3,0,0.06173563,Low
SUB-00099,Bangalore,Standard,"506,336,444,384,465,402",2,2026-01-23,107,416.18,1,422.8333333333333,336.0,-104.0,139,1,2,0.6941082,High
SUB-00100,Kolkata,Premium,"774,676,718,835,836,818",0,2025-12-26,104,797.46,0,776.1666666666666,676.0,44.0,167,6,1,0.06725293,Low
SUB-00101,Jaipur,Basic,"218,341,219,247,310,177",2,2026-01-21,86,220.99,1,252.0,177.0,-41.0,141,5,0,0.9207079,High
SUB-00102,Kolkata,Premium,"794,767,813,750,853,834",1,2026-05-08,14,803.77,0,801.8333333333334,750.0,40.0,34,6,1,4.3803775e-06,Low
SUB-00103,Kolkata,Basic,"212,325,253,254,269,206",1,2026-05-15,114,235.2,0,253.16666666666666,206.0,-6.0,27,6,0,2.965167e-05,Low
SUB-00104,Jaipur,Basic,"288,330,272,348,302,391",1,2026-03-31,35,282.67,0,321.8333333333333,272.0,103.0,72,5,0,0.0008059942,Low
SUB-00105,Lucknow,Basic,"249,206,214,222,260,265",0,2026-03-16,92,238.91,0,236.0,206.0,16.0,87,7,0,0.0012272081,Low
SUB-00106,Chennai,Premium,"686,770,717,753,797,737",4,2026-04-05,82,742.63,0,743.3333333333334,686.0,51.0,67,2,1,0.0005440948,Low
SUB-00107,Jaipur,Standard,"540,507,548,580,473,550",2,2026-05-29,33,496.64,0,533.0,473.0,10.0,13,5,2,2.0280142e-05,Low
SUB-00108,Delhi,Premium,"869,865,764,815,820,809",3,2026-04-02,55,796.15,0,823.6666666666666,764.0,-60.0,70,3,1,0.00034942126,Low
SUB-00109,Mumbai,Basic,"199,260,214,272,91,290",3,2026-05-09,43,233.49,0,221.0,91.0,91.0,33,8,0,5.8436588e-05,Low
SUB-00110,Kolkata,Basic,"133,255,174,215,195,221",1,2026-02-18,95,197.81,0,198.83333333333334,133.0,88.0,113,6,0,0.099409744,Low
SUB-00111,Jaipur,Premium,"743,882,850,790,790,791",3,2026-01-19,55,807.68,0,807.6666666666666,743.0,48.0,143,5,1,0.16580059,Low
SUB-00112,Mumbai,Basic,"295,284,314,277,305,260",4,2025-12-17,10,312.3,1,289.1666666666667,260.0,-35.0,176,8,0,0.99864584,High
SUB-00113,Bangalore,Premium,"803,787,803,774,835,675",1,2026-03-09,5,781.0,0,779.5,675.0,-128.0,94,1,1,0.0005602105,Low
SUB-00114,Lucknow,Premium,"1149,1041,1124,1041,1062,1189",2,2026-02-21,19,1093.78,0,1101.0,1041.0,40.0,110,7,1,0.0003099325,Low
SUB-00115,Bangalore,Basic,"255,299,303,276,187,325",7,2026-03-10,40,244.28,1,274.1666666666667,187.0,70.0,93,1,0,0.97506785,High
SUB-00116,Mumbai,Standard,"389,409,408,413,473,415",1,2025-12-19,27,392.68,0,417.8333333333333,389.0,26.0,174,8,2,0.8379662,High
SUB-00117,Chennai,Premium,"823,768,781,766,776,720",5,2026-03-13,14,775.58,0,772.3333333333334,720.0,-103.0,90,2,1,0.010619795,Low
SUB-00118,Jaipur,Standard,"346,311,460,428,343,490",3,2026-05-03,80,378.0,0,396.3333333333333,311.0,144.0,39,5,2,9.85378e-05,Low
SUB-00119,Chennai,Basic,"263,221,202,351,188,395",2,2026-04-27,103,279.45,0,270.0,188.0,132.0,45,2,0,8.621743e-05,Low
SUB-00120,Pune,Basic,"309,285,276,268,234,257",4,2026-03-18,23,271.75,0,271.5,234.0,-52.0,85,9,0,0.13385618,Low
SUB-00121,Pune,Premium,"625,535,650,706,669,600",2,2026-04-09,111,630.7,0,630.8333333333334,535.0,-25.0,63,9,1,0.00040172262,Low
SUB-00122,Kolkata,Basic,"153,229,294,213,210,155",1,2025-12-14,101,202.4,1,209.0,153.0,2.0,179,6,0,0.993853,High
SUB-00123,Delhi,Standard,"516,543,526,580,539,505",1,2026-06-02,112,519.87,0,534.8333333333334,505.0,-11.0,9,3,2,1.4947901e-05,Low
SUB-00124,Ahmedabad,Basic,"199,227,226,306,247,324",2,2026-02-14,26,262.04,1,254.83333333333334,199.0,125.0,117,0,0,0.5030941,Medium
SUB-00125,Hyderabad,Standard,"430,448,437,407,409,418",3,2026-04-14,106,416.33,0,424.8333333333333,407.0,-12.0,58,4,2,0.0030514274,Low
SUB-00126,Chennai,Basic,"318,161,261,245,266,206",2,2026-04-23,85,245.59,0,242.83333333333334,161.0,-112.0,49,2,0,0.000100441815,Low
SUB-00127,Pune,Standard,"282,393,351,297,406,323",3,2026-05-25,36,378.22,0,342.0,282.0,41.0,17,9,2,4.2019954e-05,Low
SUB-00128,Kolkata,Standard,"376,416,383,449,465,419",1,2026-02-01,83,414.44,0,418.0,376.0,43.0,130,6,2,0.12533876,Low
SUB-00129,Pune,Premium,"952,929,867,811,843,874",2,2026-01-25,108,846.26,0,879.3333333333334,811.0,-78.0,137,9,1,0.01981244,Low
SUB-00130,Hyderabad,Basic,"206,256,331,236,317,191",2,2026-04-06,15,252.28,0,256.1666666666667,191.0,-15.0,66,4,0,0.00072718156,Low
SUB-00131,Bangalore,Premium,"676,750,807,709,757,720",3,2026-06-02,34,746.61,0,736.5,676.0,44.0,9,1,1,1.3000121e-05,Low
SUB-00132,Delhi,Premium,"782,791,800,824,840,871",3,2026-03-15,56,836.17,0,818.0,782.0,89.0,88,3,1,0.0011876917,Low
SUB-00133,Hyderabad,Standard,"327,411,402,453,393,420",4,2026-02-01,78,407.6,1,401.0,327.0,93.0,130,4,2,0.89262617,High
SUB-00134,Delhi,Standard,"406,448,414,531,468,474",2,2026-01-15,116,466.08,1,456.8333333333333,406.0,68.0,147,3,2,0.79944575,High
SUB-00135,Chennai,Standard,"448,312,441,420,389,464",5,2026-02-20,6,438.74,1,412.3333333333333,312.0,16.0,111,2,2,0.85671633,High
SUB-00136,Mumbai,Premium,"758,798,744,835,881,866",2,2026-01-25,119,805.4,0,813.6666666666666,744.0,108.0,137,8,1,0.02431956,Low
SUB-00137,Chennai,Standard,"513,411,418,420,403,454",0,2026-05-25,56,439.33,0,436.5,403.0,-59.0,17,2,2,8.202352e-06,Low
SUB-00138,Hyderabad,Premium,"745,737,759,796,784,662",0,2025-12-24,41,737.21,0,747.1666666666666,662.0,-83.0,169,4,1,0.086789645,Low
SUB-00139,Delhi,Premium,"591,519,486,604,528,588",2,2026-03-27,116,544.61,0,552.6666666666666,486.0,-3.0,76,3,1,0.0012142754,Low
SUB-00140,Jaipur,Standard,"459,358,460,507,414,497",0,2026-02-27,86,488.11,0,449.1666666666667,358.0,38.0,104,5,2,0.0036235044,Low
SUB-00141,Hyderabad,Standard,"478,509,441,447,402,427",1,2026-03-28,90,449.23,0,450.6666666666667,402.0,-51.0,75,4,2,0.0006770903,Low
SUB-00142,Jaipur,Basic,"297,212,190,275,193,314",3,2026-02-24,25,223.46,1,246.83333333333334,190.0,17.0,107,5,0,0.6505235,High
SUB-00143,Pune,Premium,"843,863,913,938,928,881",0,2026-04-28,96,867.79,0,894.3333333333334,843.0,38.0,44,9,1,4.045987e-06,Low
SUB-00144,Lucknow,Premium,"820,883,884,966,868,884",1,2026-02-28,39,879.95,0,884.1666666666666,820.0,64.0,103,7,1,0.00027314996,Low
SUB-00145,Jaipur,Basic,"234,189,208,317,224,204",0,2026-03-30,39,257.11,0,229.33333333333334,189.0,-30.0,73,5,0,0.00032328235,Low
SUB-00146,Chennai,Standard,"536,512,526,438,405,551",1,2026-01-14,101,476.83,0,494.6666666666667,405.0,15.0,148,2,2,0.3431377,Low
SUB-00147,Lucknow,Premium,"755,840,857,805,797,725",4,2026-02-12,42,767.73,0,796.5,725.0,-30.0,119,7,1,0.09991062,Low
SUB-00148,Ahmedabad,Standard,"415,369,570,412,456,454",2,2026-04-18,87,467.96,0,446.0,369.0,39.0,54,0,2,6.321021e-05,Low
SUB-00149,Jaipur,Standard,"506,452,545,489,502,498",5,2026-04-29,102,465.37,0,498.6666666666667,452.0,-8.0,43,5,2,0.00024214532,Low
SUB-00150,Delhi,Standard,"503,504,549,537,510,434",4,2025-12-24,66,508.67,1,506.1666666666667,434.0,-69.0,169,3,2,0.990889,High
SUB-00151,Lucknow,Standard,"510,565,505,491,519,443",3,2026-04-12,12,474.72,0,505.5,443.0,-67.0,60,7,2,0.0012940562,Low
SUB-00152,Kolkata,Basic,"305,218,328,243,277,194",1,2026-04-22,104,264.34,0,260.8333333333333,194.0,-111.0,50,6,0,4.269219e-05,Low
SUB-00153,Bangalore,Basic,"343,285,344,199,216,248",1,2026-04-10,6,271.6,0,272.5,199.0,-95.0,62,1,0,0.00025149208,Low
SUB-00154,Ahmedabad,Premium,"647,629,641,781,690,845",6,2026-05-24,109,717.97,0,705.5,629.0,198.0,18,0,1,0.0022076797,Low
SUB-00155,Ahmedabad,Standard,"431,390,463,421,487,477",4,2026-01-01,114,421.79,1,444.8333333333333,390.0,46.0,161,0,2,0.97645175,High
SUB-00156,Lucknow,Basic,"194,137,226,224,306,262",4,2025-12-15,92,230.52,1,224.83333333333334,137.0,68.0,178,7,0,0.99982446,High
SUB-00157,Pune,Standard,"491,456,383,458,301,336",2,2026-04-10,52,398.79,0,404.1666666666667,301.0,-155.0,62,9,2,0.0009597752,Low
SUB-00158,Bangalore,Premium,"841,746,851,827,811,755",2,2026-06-10,89,834.86,0,805.1666666666666,746.0,-86.0,1,1,1,8.236967e-06,Low
SUB-00159,Delhi,Standard,"449,485,456,332,467,520",2,2026-04-27,29,475.68,0,451.5,332.0,71.0,45,3,2,6.504882e-05,Low
SUB-00160,Jaipur,Standard,"527,550,483,478,445,447",2,2026-01-20,7,488.91,0,488.3333333333333,445.0,-80.0,142,5,2,0.63848543,Medium
SUB-00161,Chennai,Basic,"261,242,205,121,287,280",3,2026-05-08,59,243.21,0,232.66666666666666,121.0,19.0,34,2,0,5.280428e-05,Low
SUB-00162,Ahmedabad,Premium,"784,776,806,776,766,741",0,2026-01-19,68,771.87,0,774.8333333333334,741.0,-43.0,143,0,1,0.006243093,Low
SUB-00163,Lucknow,Standard,"448,427,614,498,511,453",3,2026-02-18,97,494.23,0,491.8333333333333,427.0,5.0,113,7,2,0.17823999,Low
SUB-00164,Lucknow,Premium,"800,745,819,901,753,776",1,2026-02-02,115,768.47,0,799.0,745.0,-24.0,129,7,1,0.0136983525,Low
SUB-00165,Pune,Premium,"928,784,691,859,883,719",0,2026-05-02,58,837.95,0,810.6666666666666,691.0,-209.0,40,9,1,4.403716e-06,Low
SUB-00166,Ahmedabad,Standard,"469,402,367,396,368,429",2,2026-04-09,34,399.51,0,405.1666666666667,367.0,-40.0,63,0,2,0.0006143168,Low
SUB-00167,Kolkata,Premium,"703,711,754,744,727,726",3,2026-01-02,63,729.1,1,727.5,703.0,23.0,160,6,1,0.78943574,High
SUB-00168,Chennai,Standard,"465,438,478,384,321,423",3,2026-05-23,57,413.21,0,418.1666666666667,321.0,-42.0,19,2,2,2.8453613e-05,Low
SUB-00169,Kolkata,Basic,"329,310,293,302,239,247",5,2026-03-18,35,260.88,1,286.6666666666667,239.0,-82.0,85,6,0,0.46760243,Medium
SUB-00170,Hyderabad,Premium,"800,869,951,794,849,918",2,2026-05-07,11,848.34,0,863.5,794.0,118.0,35,4,1,1.9591504e-05,Low
SUB-00171,Bangalore,Basic,"270,238,296,306,377,276",3,2025-12-16,50,247.61,1,293.8333333333333,238.0,6.0,177,1,0,0.99919957,High
SUB-00172,Bangalore,Premium,"792,862,846,847,922,850",0,2026-05-26,28,832.58,0,853.1666666666666,792.0,58.0,16,1,1,2.489132e-06,Low
SUB-00173,Pune,Standard,"337,409,484,462,392,406",3,2026-01-24,43,434.82,0,415.0,337.0,69.0,138,9,2,0.83236295,High
SUB-00174,Ahmedabad,Standard,"353,491,424,490,431,436",3,2026-04-20,8,429.46,0,437.5,353.0,83.0,52,0,2,0.00015645768,Low
SUB-00175,Pune,Standard,"429,482,455,497,444,512",2,2026-01-13,116,468.62,1,469.8333333333333,429.0,83.0,149,9,2,0.7970872,High
SUB-00176,Mumbai,Premium,"691,674,682,689,697,720",3,2026-02-09,49,665.4,0,692.1666666666666,674.0,29.0,122,8,1,0.06400946,Low
SUB-00177,Mumbai,Standard,"458,385,356,477,525,483",2,2026-03-04,39,470.49,0,447.3333333333333,356.0,25.0,99,8,2,0.019737462,Low
