subscriber_id,region,package_type,recharge_history,complaint_count,last_active_date,tenure_months,arpu,churn
SUB-00056,Hyderabad,Standard,"346,370,439,360,431,332",1,2026-01-30,116,389.45,0
SUB-00057,Ahmedabad,Basic,"337,274,270,290,344,259",2,2026-04-15,32,265.89,0
SUB-00058,Delhi,Standard,"475,434,470,559,499,439",2,2026-01-12,3,455.69,0
SUB-00059,Jaipur,Basic,"265,338,243,207,286,274",2,2026-04-16,76,286.04,0
SUB-00060,Mumbai,Basic,"282,303,230,254,300,337",3,2026-01-01,91,274.69,1
SUB-00061,Mumbai,Basic,"283,320,236,282,255,302",2,2026-06-03,9,278.98,0
SUB-00062,Hyderabad,Basic,"324,237,238,232,308,308",2,2026-04-12,66,260.01,0
SUB-00063,Kolkata,Premium,"989,849,1013,971,935,952",2,2026-04-18,63,938.59,0
SUB-00064,Jaipur,Basic,"305,245,227,238,228,159",2,2026-01-16,93,216.24,1
SUB-00065,Lucknow,Standard,"477,385,437,298,459,375",4,2026-02-10,32,382.93,0
SUB-00066,Pune,Basic,"186,154,278,240,172,172",1,2026-05-18,13,237.19,0
SUB-00067,Pune,Standard,"516,432,367,473,425,487",2,2026-02-26,55,433.21,0
SUB-00068,Ahmedabad,Premium,"564,641,575,607,615,623",1,2025-12-21,7,615.51,0
SUB-00069,Delhi,Basic,"237,358,174,299,96,125",3,2026-03-17,52,229.67,0
SUB-00070,Delhi,Basic,"142,173,157,300,259,276",2,2026-04-24,25,212.78,0
SUB-00071,Jaipur,Standard,"429,491,479,511,433,468",0,2026-02-23,18,486.08,0
SUB-00072,Bangalore,Standard,"384,469,468,423,454,375",4,2026-04-09,60,438.54,0
SUB-00073,Delhi,Standard,"486,561,408,534,425,558",2,2026-01-22,104,496.2,0
SUB-00074,Delhi,Basic,"183,240,190,192,166,182",4,2026-01-24,84,184.9,1
SUB-00075,Mumbai,Basic,"173,194,264,177,286,359",2,2026-04-12,119,259.23,0
SUB-00076,Bangalore,Standard,"498,535,569,536,393,421",2,2026-02-08,63,485.88,0
SUB-00077,Chennai,Standard,"420,347,447,342,378,485",2,2026-05-27,116,418.76,0
SUB-00078,Bangalore,Standard,"430,415,362,440,377,411",2,2026-03-04,1,405.81,0
SUB-00079,Kolkata,Standard,"573,586,561,676,575,500",2,2026-02-23,37,578.0,0
SUB-00080,Jaipur,Premium,"723,747,756,790,768,693",4,2026-02-07,92,759.96,0
SUB-00081,Bangalore,Basic,"291,185,258,302,268,283",4,2026-04-17,38,261.41,0
SUB-00082,Mumbai,Premium,"708,803,726,842,765,785",7,2026-01-24,95,778.67,1
SUB-00083,Mumbai,Premium,"744,876,843,902,807,815",5,2026-05-28,41,841.26,0
SUB-00084,Mumbai,Premium,"507,591,536,511,501,498",5,2026-02-03,62,551.54,0
SUB-00085,Jaipur,Basic,"131,241,181,189,225,135",4,2026-02-01,8,191.99,1
SUB-00086,Delhi,Basic,"229,234,230,233,229,320",5,2026-01-10,9,261.47,1
SUB-00087,Delhi,Premium,"913,952,866,1019,1031,911",3,2026-04-12,111,942.05,0
SUB-00088,Pune,Basic,"150,175,282,190,196,237",6,2026-01-17,114,238.37,1
SUB-00089,Chennai,Premium,"816,868,928,995,842,845",0,2026-06-01,77,869.48,0
SUB-00090,Lucknow,Basic,"327,302,301,317,306,324",4,2025-12-25,54,281.32,1
SUB-00091,Lucknow,Premium,"977,892,908,961,860,919",4,2026-03-23,67,900.85,0
SUB-00092,Kolkata,Basic,"279,163,239,242,275,170",2,2026-03-23,86,238.2,0
SUB-00093,Chennai,Standard,"535,551,527,585,452,533",1,2026-05-09,51,524.76,0
SUB-00094,Kolkata,Standard,"524,419,477,435,530,394",0,2026-05-24,41,470.43,0
SUB-00095,Mumbai,Standard,"440,500,418,394,516,349",1,2026-01-18,80,422.05,1
SUB-00096,Delhi,Basic,"196,155,120,227,216,179",3,2026-04-18,69,184.04,0
SUB-00097,Jaipur,Standard,"488,530,559,479,614,538",3,2026-03-14,17,542.33,0
SUB-00098,Delhi,Basic,"315,349,293,318,279,355",5,2026-03-31,48,283.52,0
SUB-00099,Bangalore,Standard,"506,336,444,384,465,402",2,2026-01-23,107,416.18,1
SUB-00100,Kolkata,Premium,"774,676,718,835,836,818",0,2025-12-26,104,797.46,0
SUB-00101,Jaipur,Basic,"218,341,219,247,310,177",2,2026-01-21,86,220.99,1
SUB-00102,Kolkata,Premium,"794,767,813,750,853,834",1,2026-05-08,14,803.77,0
SUB-00103,Kolkata,Basic,"212,325,253,254,269,206",1,2026-05-15,114,235.2,0
SUB-00104,Jaipur,Basic,"288,330,272,348,302,391",1,2026-03-31,35,282.67,0
SUB-00105,Lucknow,Basic,"249,206,214,222,260,265",0,2026-03-16,92,238.91,0
SUB-00106,Chennai,Premium,"686,770,717,753,797,737",4,2026-04-05,82,742.63,0
SUB-00107,Jaipur,Standard,"540,507,548,580,473,550",2,2026-05-29,33,496.64,0
SUB-00108,Delhi,Premium,"869,865,764,815,820,809",3,2026-04-02,55,796.15,0
SUB-00109,Mumbai,Basic,"199,260,214,272,91,290",3,2026-05-09,43,233.49,0
SUB-00110,Kolkata,Basic,"133,255,174,215,195,221",1,2026-02-18,95,197.81,0
SUB-00111,Jaipur,Premium,"743,882,850,790,790,791",3,2026-01-19,55,807.68,0
SUB-00112,Mumbai,Basic,"295,284,314,277,305,260",4,2025-12-17,10,312.3,1
SUB-00113,Bangalore,Premium,"803,787,803,774,835,675",1,2026-03-09,5,781.0,0
SUB-00114,Lucknow,Premium,"1149,1041,1124,1041,1062,1189",2,2026-02-21,19,1093.78,0
SUB-00115,Bangalore,Basic,"255,299,303,276,187,325",7,2026-03-10,40,244.28,1
SUB-00116,Mumbai,Standard,"389,409,408,413,473,415",1,2025-12-19,27,392.68,0
SUB-00117,Chennai,Premium,"823,768,781,766,776,720",5,2026-03-13,14,775.58,0
SUB-00118,Jaipur,Standard,"346,311,460,428,343,490",3,2026-05-03,80,378.0,0
SUB-00119,Chennai,Basic,"263,221,202,351,188,395",2,2026-04-27,103,279.45,0
SUB-00120,Pune,Basic,"309,285,276,268,234,257",4,2026-03-18,23,271.75,0
SUB-00121,Pune,Premium,"625,535,650,706,669,600",2,2026-04-09,111,630.7,0
SUB-00122,Kolkata,Basic,"153,229,294,213,210,155",1,2025-12-14,101,202.4,1
SUB-00123,Delhi,Standard,"516,543,526,580,539,505",1,2026-06-02,112,519.87,0
SUB-00124,Ahmedabad,Basic,"199,227,226,306,247,324",2,2026-02-14,26,262.04,1
SUB-00125,Hyderabad,Standard,"430,448,437,407,409,418",3,2026-04-14,106,416.33,0
SUB-00126,Chennai,Basic,"318,161,261,245,266,206",2,2026-04-23,85,245.59,0
SUB-00127,Pune,Standard,"282,393,351,297,406,323",3,2026-05-25,36,378.22,0
SUB-00128,Kolkata,Standard,"376,416,383,449,465,419",1,2026-02-01,83,414.44,0
SUB-00129,Pune,Premium,"952,929,867,811,843,874",2,2026-01-25,108,846.26,0
SUB-00130,Hyderabad,Basic,"206,256,331,236,317,191",2,2026-04-06,15,252.28,0
SUB-00131,Bangalore,Premium,"676,750,807,709,757,720",3,2026-06-02,34,746.61,0
SUB-00132,Delhi,Premium,"782,791,800,824,840,871",3,2026-03-15,56,836.17,0
SUB-00133,Hyderabad,Standard,"327,411,402,453,393,420",4,2026-02-01,78,407.6,1
SUB-00134,Delhi,Standard,"406,448,414,531,468,474",2,2026-01-15,116,466.08,1
SUB-00135,Chennai,Standard,"448,312,441,420,389,464",5,2026-02-20,6,438.74,1
SUB-00136,Mumbai,Premium,"758,798,744,835,881,866",2,2026-01-25,119,805.4,0
SUB-00137,Chennai,Standard,"513,411,418,420,403,454",0,2026-05-25,56,439.33,0
SUB-00138,Hyderabad,Premium,"745,737,759,796,784,662",0,2025-12-24,41,737.21,0
SUB-00139,Delhi,Premium,"591,519,486,604,528,588",2,2026-03-27,116,544.61,0
SUB-00140,Jaipur,Standard,"459,358,460,507,414,497",0,2026-02-27,86,488.11,0
SUB-00141,Hyderabad,Standard,"478,509,441,447,402,427",1,2026-03-28,90,449.23,0
SUB-00142,Jaipur,Basic,"297,212,190,275,193,314",3,2026-02-24,25,223.46,1
SUB-00143,Pune,Premium,"843,863,913,938,928,881",0,2026-04-28,96,867.79,0
SUB-00144,Lucknow,Premium,"820,883,884,966,868,884",1,2026-02-28,39,879.95,0
SUB-00145,Jaipur,Basic,"234,189,208,317,224,204",0,2026-03-30,39,257.11,0
SUB-00146,Chennai,Standard,"536,512,526,438,405,551",1,2026-01-14,101,476.83,0
SUB-00147,Lucknow,Premium,"755,840,857,805,797,725",4,2026-02-12,42,767.73,0
SUB-00148,Ahmedabad,Standard,"415,369,570,412,456,454",2,2026-04-18,87,467.96,0
SUB-00149,Jaipur,Standard,"506,452,545,489,502,498",5,2026-04-29,102,465.37,0
SUB-00150,Delhi,Standard,"503,504,549,537,510,434",4,2025-12-24,66,508.67,1
SUB-00151,Lucknow,Standard,"510,565,505,491,519,443",3,2026-04-12,12,474.72,0
SUB-00152,Kolkata,Basic,"305,218,328,243,277,194",1,2026-04-22,104,264.34,0
SUB-00153,Bangalore,Basic,"343,285,344,199,216,248",1,2026-04-10,6,271.6,0
SUB-00154,Ahmedabad,Premium,"647,629,641,781,690,845",6,2026-05-24,109,717.97,0
SUB-00155,Ahmedabad,Standard,"431,390,463,421,487,477",4,2026-01-01,114,421.79,1
SUB-00156,Lucknow,Basic,"194,137,226,224,306,262",4,2025-12-15,92,230.52,1
SUB-00157,Pune,Standard,"491,456,383,458,301,336",2,2026-04-10,52,398.79,0
SUB-00158,Bangalore,Premium,"841,746,851,827,811,755",2,2026-06-10,89,834.86,0
SUB-00159,Delhi,Standard,"449,485,456,332,467,520",2,2026-04-27,29,475.68,0
SUB-00160,Jaipur,Standard,"527,550,483,478,445,447",2,2026-01-20,7,488.91,0
SUB-00161,Chennai,Basic,"261,242,205,121,287,280",3,2026-05-08,59,243.21,0
SUB-00162,Ahmedabad,Premium,"784,776,806,776,766,741",0,2026-01-19,68,771.87,0
SUB-00163,Lucknow,Standard,"448,427,614,498,511,453",3,2026-02-18,97,494.23,0
SUB-00164,Lucknow,Premium,"800,745,819,901,753,776",1,2026-02-02,115,768.47,0
SUB-00165,Pune,Premium,"928,784,691,859,883,719",0,2026-05-02,58,837.95,0
SUB-00166,Ahmedabad,Standard,"469,402,367,396,368,429",2,2026-04-09,34,399.51,0
SUB-00167,Kolkata,Premium,"703,711,754,744,727,726",3,2026-01-02,63,729.1,1
SUB-00168,Chennai,Standard,"465,438,478,384,321,423",3,2026-05-23,57,413.21,0
SUB-00169,Kolkata,Basic,"329,310,293,302,239,247",5,2026-03-18,35,260.88,1
SUB-00170,Hyderabad,Premium,"800,869,951,794,849,918",2,2026-05-07,11,848.34,0
SUB-00171,Bangalore,Basic,"270,238,296,306,377,276",3,2025-12-16,50,247.61,1
SUB-00172,Bangalore,Premium,"792,862,846,847,922,850",0,2026-05-26,28,832.58,0
SUB-00173,Pune,Standard,"337,409,484,462,392,406",3,2026-01-24,43,434.82,0
SUB-00174,Ahmedabad,Standard,"353,491,424,490,431,436",3,2026-04-20,8,429.46,0
SUB-00175,Pune,Standard,"429,482,455,497,444,512",2,2026-01-13,116,468.62,1
SUB-00176,Mumbai,Premium,"691,674,682,689,697,720",3,2026-02-09,49,665.4,0
SUB-00177,Mumbai,Standard,"458,385,356,477,525,483",2,2026-03-04,39,470.49,0
SUB-00178,Pune,Premium,"782,814,771,831,803,809",1,2026-01-23,96,793.66,0
SUB-00179,Lucknow,Basic,"250,295,368,265,259,275",2,2026-04-16,63,276.66,0
SUB-00180,Kolkata,Standard,"487,391,456,479,479,445",2,2026-06-04,63,434.84,0
SUB-00181,Pune,Standard,"454,490,544,440,498,535",0,2025-12-20,86,486.72,1
SUB-00182,Pune,Premium,"923,832,894,861,955,794",4,2026-02-12,22,850.11,0
SUB-00183,Bangalore,Premium,"1009,909,802,943,929,996",3,2026-06-05,69,922.18,0
SUB-00184,Pune,Premium,"823,795,830,859,839,826",2,2025-12-24,73,861.11,0
SUB-00185,Mumbai,Basic,"203,197,208,262,178,231",2,2026-02-22,83,207.81,1
SUB-00186,Bangalore,Standard,"542,599,591,478,585,640",3,2026-05-30,24,586.54,0
SUB-00187,Kolkata,Standard,"397,443,455,350,474,405",2,2026-04-18,42,430.04,0
SUB-00188,Ahmedabad,Standard,"537,502,443,412,349,421",1,2026-03-06,44,457.34,0
SUB-00189,Kolkata,Standard,"390,428,406,447,461,384",1,2026-05-22,33,439.44,0
SUB-00190,Ahmedabad,Basic,"327,303,339,306,261,310",1,2026-01-24,96,292.33,1
SUB-00191,Mumbai,Standard,"398,307,360,526,368,294",0,2025-12-27,29,392.81,1
SUB-00192,Delhi,Premium,"826,818,859,944,899,897",5,2026-06-04,6,873.26,0
SUB-00193,Chennai,Basic,"160,140,174,140,184,180",4,2026-06-06,108,195.42,0
SUB-00194,Lucknow,Basic,"338,343,245,262,189,233",1,2026-05-10,31,273.39,0
SUB-00195,Ahmedabad,Premium,"977,895,910,856,917,872",1,2026-01-18,15,896.49,0
SUB-00196,Chennai,Standard,"444,430,436,529,477,434",3,2026-04-07,90,449.28,0
SUB-00197,Hyderabad,Basic,"254,192,214,211,278,357",5,2026-01-07,78,270.91,1
SUB-00198,Delhi,Basic,"253,273,319,341,365,225",4,2026-05-15,40,316.94,0
SUB-00199,Lucknow,Basic,"189,342,301,222,181,243",5,2026-03-24,119,244.84,1
SUB-00200,Lucknow,Premium,"797,748,758,723,756,726",4,2026-03-07,117,743.23,0
SUB-00201,Pune,Premium,"843,861,881,874,914,789",2,2026-05-23,26,862.16,0
SUB-00202,Lucknow,Premium,"608,872,768,726,712,730",2,2026-01-02,107,715.73,0
SUB-00203,Chennai,Basic,"297,255,322,295,118,298",3,2026-03-26,90,265.63,0
SUB-00204,Lucknow,Basic,"353,243,303,310,235,218",0,2026-01-18,102,255.84,0
SUB-00205,Mumbai,Standard,"480,480,550,533,543,528",1,2026-02-22,69,507.27,0
SUB-00206,Hyderabad,Basic,"191,230,150,150,222,204",5,2025-12-28,65,232.18,1
SUB-00207,Hyderabad,Basic,"246,254,283,230,242,325",1,2026-02-24,109,253.2,0
SUB-00208,Ahmedabad,Basic,"242,214,200,211,293,218",1,2026-03-11,56,250.09,0
SUB-00209,Ahmedabad,Premium,"819,788,785,701,844,741",3,2026-02-20,20,784.51,0
SUB-00210,Bangalore,Premium,"843,808,873,784,857,858",4,2025-12-27,67,833.5,0
SUB-00211,Kolkata,Premium,"1044,814,904,922,858,874",2,2026-01-25,104,906.02,0
SUB-00212,Ahmedabad,Standard,"492,407,417,435,383,409",2,2026-01-11,56,450.77,1
SUB-00213,Kolkata,Standard,"469,422,525,504,359,452",6,2026-04-10,110,426.19,0
SUB-00214,Delhi,Standard,"439,469,402,386,409,439",6,2026-02-16,113,409.18,1
SUB-00215,Chennai,Standard,"262,352,370,355,450,394",1,2026-01-06,73,377.81,1
SUB-00216,Pune,Standard,"451,483,513,545,427,444",2,2026-02-05,4,465.02,0
SUB-00217,Hyderabad,Basic,"328,243,320,271,318,261",2,2026-04-18,63,288.24,0
SUB-00218,Hyderabad,Standard,"478,416,430,392,313,432",1,2026-04-01,44,441.86,0
SUB-00219,Lucknow,Premium,"1080,1068,1039,1142,1052,1093",0,2026-04-02,113,1041.26,0
SUB-00220,Jaipur,Basic,"216,237,277,191,120,241",3,2026-04-24,67,228.3,0
SUB-00221,Delhi,Basic,"212,288,291,268,354,199",2,2026-02-27,93,279.66,0
SUB-00222,Ahmedabad,Premium,"679,677,800,711,682,715",0,2026-04-11,98,717.15,0
SUB-00223,Ahmedabad,Premium,"856,790,822,834,837,917",0,2026-02-06,92,853.71,0
SUB-00224,Ahmedabad,Basic,"201,345,208,309,298,254",2,2026-03-28,12,266.73,0
SUB-00225,Chennai,Standard,"345,395,541,356,446,538",2,2026-04-10,89,436.85,0
SUB-00226,Kolkata,Premium,"842,769,910,705,772,796",0,2026-03-09,75,800.68,0
SUB-00227,Ahmedabad,Premium,"718,802,798,782,796,758",1,2026-03-15,68,779.93,0
SUB-00228,Pune,Premium,"646,640,665,609,639,666",1,2026-03-19,71,638.26,0
SUB-00229,Hyderabad,Premium,"729,803,731,791,869,822",3,2026-04-03,59,791.51,0
SUB-00230,Kolkata,Standard,"483,417,416,452,417,436",2,2026-05-12,30,439.63,0
SUB-00231,Chennai,Standard,"542,592,545,522,621,625",1,2026-01-25,16,554.99,0
SUB-00232,Bangalore,Basic,"133,276,171,268,232,184",5,2026-02-08,28,231.99,1
SUB-00233,Kolkata,Premium,"793,719,807,798,744,829",4,2026-01-28,76,759.3,1
SUB-00234,Lucknow,Standard,"367,447,474,408,299,439",2,2026-04-23,13,429.73,0
SUB-00235,Kolkata,Basic,"283,268,315,234,179,297",4,2026-04-27,47,263.1,0
SUB-00236,Kolkata,Basic,"118,118,207,115,206,196",0,2026-01-26,91,173.25,0
SUB-00237,Bangalore,Standard,"329,402,351,333,434,450",3,2026-05-29,6,363.71,0
SUB-00238,Jaipur,Standard,"589,518,522,470,527,504",0,2026-05-10,90,498.94,0
SUB-00239,Ahmedabad,Basic,"241,302,357,232,193,229",2,2026-06-08,112,202.35,0
SUB-00240,Lucknow,Standard,"467,521,429,433,547,541",6,2026-02-09,61,494.38,0
SUB-00241,Ahmedabad,Standard,"486,516,524,466,478,405",2,2026-05-29,24,481.68,0
SUB-00242,Kolkata,Standard,"523,434,420,445,444,501",4,2026-05-26,15,432.15,0
SUB-00243,Pune,Standard,"386,434,380,453,431,434",2,2026-01-15,10,400.18,1
SUB-00244,Mumbai,Basic,"190,216,120,229,157,141",3,2026-01-18,20,209.02,1
SUB-00245,Kolkata,Basic,"259,169,250,294,171,182",2,2026-05-12,32,204.33,0
SUB-00246,Jaipur,Standard,"517,417,427,415,416,358",5,2026-01-10,78,441.83,1
SUB-00247,Lucknow,Basic,"214,254,261,117,163,135",2,2026-01-29,100,210.15,1
SUB-00248,Pune,Standard,"464,353,421,437,413,426",2,2026-02-18,117,417.5,0
SUB-00249,Kolkata,Premium,"779,879,870,740,866,852",3,2026-03-25,55,819.73,0
SUB-00250,Lucknow,Premium,"635,660,729,682,603,731",3,2026-01-06,8,646.35,1
SUB-00251,Delhi,Basic,"238,232,272,208,244,267",3,2026-04-18,81,251.31,0
SUB-00252,Kolkata,Premium,"906,888,754,853,793,832",2,2026-05-02,11,818.97,0
SUB-00253,Chennai,Basic,"247,219,224,213,217,255",1,2026-05-23,71,258.83,0
SUB-00254,Bangalore,Basic,"253,252,232,265,252,166",3,2026-02-16,53,228.53,1
SUB-00255,Lucknow,Standard,"537,527,482,547,611,454",1,2026-06-03,38,493.46,0
SUB-00256,Chennai,Standard,"350,466,480,342,353,423",5,2026-03-31,91,380.95,0
SUB-00257,Ahmedabad,Basic,"236,278,237,250,219,325",2,2026-04-13,88,238.39,0
SUB-00258,Kolkata,Premium,"725,646,704,706,663,714",1,2025-12-24,76,698.18,1
SUB-00259,Chennai,Standard,"343,332,333,423,426,427",2,2026-01-23,15,399.61,1
SUB-00260,Chennai,Premium,"763,731,783,923,792,758",3,2026-04-04,20,774.5,0
SUB-00261,Bangalore,Basic,"301,228,304,225,314,283",4,2026-04-30,8,277.65,0
SUB-00262,Kolkata,Premium,"960,995,935,960,979,898",1,2026-01-17,96,974.46,0
SUB-00263,Kolkata,Standard,"409,310,350,430,483,299",0,2026-02-12,16,379.12,0
SUB-00264,Kolkata,Premium,"480,612,628,658,561,616",3,2026-04-03,52,612.01,0
SUB-00265,Jaipur,Premium,"720,657,740,750,695,709",1,2026-02-19,64,707.46,0
SUB-00266,Delhi,Premium,"786,599,728,704,669,743",1,2026-02-21,6,655.14,0
SUB-00267,Hyderabad,Premium,"856,853,822,832,888,827",4,2026-06-05,33,837.21,0
SUB-00268,Delhi,Basic,"215,276,253,231,238,201",3,2026-01-15,87,229.05,1
SUB-00269,Lucknow,Basic,"211,212,184,212,234,213",4,2025-12-21,98,244.18,1
SUB-00270,Kolkata,Premium,"612,522,569,579,609,612",3,2026-04-28,6,579.44,0
SUB-00271,Ahmedabad,Premium,"730,780,802,690,753,734",6,2026-02-18,84,726.58,1
SUB-00272,Kolkata,Basic,"241,185,197,293,214,196",7,2026-02-20,75,246.46,1
SUB-00273,Ahmedabad,Basic,"192,238,203,285,206,282",3,2026-03-14,61,227.26,0
SUB-00274,Pune,Standard,"488,507,421,435,509,432",2,2025-12-22,42,479.84,1
SUB-00275,Delhi,Basic,"195,276,236,213,165,281",5,2026-02-26,43,263.9,1
SUB-00276,Ahmedabad,Standard,"309,429,405,357,348,403",0,2026-03-01,85,371.76,0
SUB-00277,Jaipur,Basic,"235,266,259,177,216,226",2,2026-05-20,59,228.78,0
SUB-00278,Hyderabad,Standard,"510,474,496,544,491,459",4,2026-05-13,42,443.28,0
SUB-00279,Pune,Premium,"1051,998,971,953,991,889",5,2026-06-11,106,963.39,0
SUB-00280,Jaipur,Standard,"554,431,404,531,555,457",6,2026-05-29,53,457.06,0
SUB-00281,Chennai,Premium,"968,962,985,929,857,1000",1,2026-01-03,47,901.15,0
SUB-00282,Ahmedabad,Premium,"773,813,789,771,697,900",2,2026-05-29,57,746.9,0
SUB-00283,Chennai,Standard,"379,371,387,391,372,404",4,2026-05-09,71,394.84,0
SUB-00284,Kolkata,Standard,"367,461,426,415,471,406",6,2025-12-15,113,412.09,1
SUB-00285,Ahmedabad,Basic,"220,234,207,235,167,219",0,2026-01-01,4,244.53,0
SUB-00286,Lucknow,Basic,"238,265,285,208,181,189",1,2026-05-02,91,241.45,0
SUB-00287,Kolkata,Premium,"733,732,767,795,732,655",2,2026-01-21,2,751.28,0
SUB-00288,Pune,Basic,"254,380,262,195,240,156",2,2026-05-13,29,245.5,0
SUB-00289,Ahmedabad,Basic,"205,188,131,274,329,304",2,2026-05-03,83,247.58,0
SUB-00290,Ahmedabad,Premium,"865,797,865,953,930,865",6,2026-02-01,38,868.17,0
SUB-00291,Kolkata,Standard,"479,472,514,510,434,480",2,2026-02-08,107,497.57,0
SUB-00292,Ahmedabad,Basic,"404,272,341,275,301,288",2,2026-01-21,59,330.54,1
SUB-00293,Bangalore,Standard,"392,480,393,383,408,478",5,2026-01-09,25,419.61,1
SUB-00294,Jaipur,Premium,"839,804,777,775,846,880",3,2026-05-08,113,819.41,0
SUB-00295,Delhi,Standard,"441,459,416,385,381,414",2,2026-02-25,99,418.13,0
SUB-00296,Hyderabad,Premium,"751,864,862,958,869,908",2,2026-06-11,35,889.0,0
